2022-08-03,10:30:15,Phyco,-3.98,,G
2022-08-03,10:30:15,Temperature,21.99,C,G
2022-08-03,10:30:15,Salinity,0.00,,G
2022-08-03,10:30:15,fDOM (QSU),-0.73,QSU,G
2022-08-03,10:30:15,DO (% Sat),91.64,%,G
2022-08-03,10:30:15,Chl,-0.05,RFU,G
2022-08-03,10:30:15,sp. Cond,5.47,,G
2022-08-03,10:30:15,Turbidity,9.80,,G
2022-08-03,10:30:15,Conductivit,5.16,,G
2022-08-03,10:30:15,fDOM (RFU),-0.00,RFU,G
2022-08-03,10:30:15,DO Conc,8.02,mg/,G
2022-08-03,10:30:16,Temperature,21.99,C,G
2022-08-03,10:30:16,Phyco,-3.93,,G
2022-08-03,10:30:16,Salinity,0.00,,G
2022-08-03,10:30:16,fDOM (QSU),-0.01,QSU,G
2022-08-03,10:30:16,DO (% Sat),91.65,%,G
2022-08-03,10:30:16,Chl,-0.10,RFU,G
2022-08-03,10:30:16,sp. Cond,5.47,,G
2022-08-03,10:30:16,Turbidity,9.80,,G
2022-08-03,10:30:16,Conductivit,5.16,,G
2022-08-03,10:30:16,fDOM (RFU),-0.00,RFU,G
2022-08-03,10:30:16,DO Conc,8.02,mg/,G
2022-08-03,10:30:17,Phyco,-3.93,,G
2022-08-03,10:30:17,Temperature,21.99,C,G
2022-08-03,10:30:17,Salinity,0.00,,G
2022-08-03,10:30:17,fDOM (QSU),-0.01,QSU,G
2022-08-03,10:30:17,DO (% Sat),91.65,%,G
2022-08-03,10:30:17,Chl,-0.10,RFU,G
2022-08-03,10:30:17,sp. Cond,5.48,,G
2022-08-03,10:30:17,Turbidity,9.75,,G
2022-08-03,10:30:17,Conductivit,5.17,,G
2022-08-03,10:30:17,fDOM (RFU),-0.12,RFU,G
2022-08-03,10:30:17,DO Conc,8.02,mg/,G
2022-08-03,10:30:18,Temperature,22.00,C,G
2022-08-03,10:30:18,Phyco,-3.94,,G
2022-08-03,10:30:18,Salinity,0.00,,G
2022-08-03,10:30:18,fDOM (QSU),-0.36,QSU,G
2022-08-03,10:30:18,DO (% Sat),91.68,%,G
2022-08-03,10:30:18,Chl,-0.09,RFU,G
2022-08-03,10:30:18,sp. Cond,5.49,,G
2022-08-03,10:30:18,Turbidity,9.78,,G
2022-08-03,10:30:18,Conductivit,5.17,,G
2022-08-03,10:30:18,fDOM (RFU),-0.18,RFU,G
