date,waterbody,site,depth,field_dups,lab_reps,variable,units,value,notes
2021-08-11,hamblin,1,int,NA,2,phyco,rfu,1.1408000000000005,NA
2021-08-11,hamblin,2,int,NA,1,phyco,rfu,0.17680000000000007,NA
2021-08-11,hamblin,2,int,NA,2,phyco,rfu,0.06400000000000035,NA
2021-08-11,hamblin,3,int,NA,1,phyco,rfu,1.7688,NA
2021-08-11,hamblin,3,int,NA,2,phyco,rfu,0.41039999999999965,NA
2021-08-11,hamblin,4,int,NA,1,phyco,rfu,0.5224000000000001,NA
2021-08-11,hamblin,4,int,NA,2,phyco,rfu,-0.04240000000000009,NA
2021-08-11,hamblin,B,int,NA,1,phyco,rfu,0.2503999999999996,NA
2021-08-11,hamblin,B,int,NA,2,phyco,rfu,0.02,NA
2021-08-11,hamblin,B,int,NA,3,phyco,rfu,0.25759999999999994,NA
2021-08-11,shubael,1,int,NA,1,phyco,rfu,7.3304,NA
2021-08-11,shubael,1,int,NA,2,phyco,rfu,18.628,NA
2021-08-11,shubael,2,int,NA,1,phyco,rfu,7.8656,NA
2021-08-11,shubael,2,int,NA,2,phyco,rfu,11.992,NA
2021-08-11,shubael,3,int,NA,1,phyco,rfu,12.0208,NA
2021-08-11,shubael,3,int,NA,2,phyco,rfu,12.6552,NA
2021-08-11,shubael,4,int,NA,1,phyco,rfu,12.312,NA
2021-08-11,shubael,4,int,NA,2,phyco,rfu,13.433600000000002,NA
2021-08-11,shubael,B,int,NA,1,phyco,rfu,10.392,NA
2021-08-11,shubael,B,int,NA,2,phyco,rfu,11.1688,NA
2021-08-11,shubael,B,int,NA,3,phyco,rfu,8.6624,NA
2021-08-31,hamblin,1,int,NA,1,phyco,rfu,0.5231999999999999,NA
2021-08-31,hamblin,1,int,NA,2,phyco,rfu,0.8032000000000005,NA
2021-08-31,hamblin,2,int,NA,1,phyco,rfu,0.6848000000000002,NA
2021-08-31,hamblin,2,int,NA,2,phyco,rfu,0.47120000000000006,NA
2021-08-31,hamblin,3,int,NA,1,phyco,rfu,0.20480000000000015,NA
2021-08-31,hamblin,3,int,NA,2,phyco,rfu,0.6672000000000002,NA
2021-08-31,hamblin,4,int,NA,1,phyco,rfu,1.0368000000000006,NA
2021-08-31,hamblin,4,int,NA,2,phyco,rfu,0.7216000000000002,NA
2021-08-31,hamblin,B,int,NA,1,phyco,rfu,0.7488,NA
2021-08-31,hamblin,B,int,NA,2,phyco,rfu,1.1880000000000006,NA
2021-08-31,hamblin,B,int,NA,3,phyco,rfu,1.2727999999999997,NA
2021-08-31,shubael,1,int,NA,1,phyco,rfu,4.9692,NA
2021-08-31,shubael,1,int,NA,2,phyco,rfu,5.0708,NA
2021-08-31,shubael,2,int,NA,1,phyco,rfu,4.3812,NA
2021-08-31,shubael,2,int,NA,2,phyco,rfu,5.6716,NA
2021-08-31,shubael,3,int,NA,1,phyco,rfu,6.552399999999999,NA
2021-08-31,shubael,3,int,NA,2,phyco,rfu,6.361999999999999,NA
2021-08-31,shubael,4,int,NA,1,phyco,rfu,6.712399999999999,NA
2021-08-31,shubael,4,int,NA,2,phyco,rfu,5.938000000000001,NA
2021-08-31,shubael,B,int,NA,1,phyco,rfu,5.4836,NA
2021-08-31,shubael,B,int,NA,2,phyco,rfu,6.412399999999999,NA
2021-08-31,shubael,B,int,NA,3,phyco,rfu,6.158000000000001,NA
2021-08-11,hamblin,1,int,NA,1,phyco,µg/L,0.02338749295925408,NA
2021-08-11,hamblin,1,int,NA,2,phyco,µg/L,0.085955064329629835,NA
2021-08-11,hamblin,2,int,NA,1,phyco,µg/L,0.01332122665978134,NA
2021-08-11,hamblin,2,int,NA,2,phyco,µg/L,0.00482216349675345,NA
2021-08-11,hamblin,3,int,NA,1,phyco,µg/L,0.13327254364152277,NA
2021-08-11,hamblin,3,int,NA,2,phyco,µg/L,0.03092212342293131,NA
2021-08-11,hamblin,4,int,NA,1,phyco,µg/L,0.03936090954224983,NA
2021-08-11,hamblin,4,int,NA,2,phyco,µg/L,-0.00319468331659915,NA
2021-08-11,hamblin,B,int,NA,1,phyco,µg/L,0.01886671468104775,NA
2021-08-11,hamblin,B,int,NA,2,phyco,µg/L,0.00150692609273544,NA
2021-08-11,hamblin,B,int,NA,3,phyco,µg/L,0.01940920807443253,NA
2021-08-11,shubael,1,int,NA,1,phyco,µg/L,0.5523185515093954,NA
2021-08-11,shubael,1,int,NA,2,phyco,µg/L,1.403550962773794,NA
2021-08-11,shubael,2,int,NA,1,phyco,µg/L,0.5926438937509959,NA
2021-08-11,shubael,2,int,NA,2,phyco,µg/L,0.9035528852041732,NA
2021-08-11,shubael,3,int,NA,1,phyco,µg/L,0.905722858777712,NA
2021-08-11,shubael,3,int,NA,2,phyco,µg/L,0.9535225544392804,NA
2021-08-11,shubael,4,int,NA,1,phyco,µg/L,0.9276637026879402,NA
2021-08-11,shubael,4,int,NA,2,phyco,µg/L,1.012172117968544,NA
2021-08-11,shubael,B,int,NA,1,phyco,µg/L,0.7829987977853374,NA
2021-08-11,shubael,B,int,NA,2,phyco,µg/L,0.8415278072271822,NA
2021-08-11,shubael,B,int,NA,3,phyco,µg/L,0.652679829285576,NA
2021-08-31,hamblin,1,int,NA,1,phyco,µg/L,0.03942118658595924,NA
2021-08-31,hamblin,1,int,NA,2,phyco,µg/L,0.06051815188425552,NA
2021-08-31,hamblin,2,int,NA,1,phyco,µg/L,0.05159714941526166,NA
2021-08-31,hamblin,2,int,NA,2,phyco,µg/L,0.03550317874484709,NA
2021-08-31,hamblin,3,int,NA,1,phyco,µg/L,0.01543092318961097,NA
2021-08-31,hamblin,3,int,NA,2,phyco,µg/L,0.05027105445365448,NA
2021-08-31,hamblin,4,int,NA,1,phyco,µg/L,0.07811904864740553,NA
2021-08-31,hamblin,4,int,NA,2,phyco,µg/L,0.05436989342589488,NA
2021-08-31,hamblin,B,int,NA,1,phyco,µg/L,0.05641931291201507,NA
2021-08-31,hamblin,B,int,NA,2,phyco,µg/L,0.08951140990848551,NA
2021-08-31,hamblin,B,int,NA,3,phyco,µg/L,0.09590077654168372,NA
2021-08-31,shubael,1,int,NA,1,phyco,µg/L,0.3744108570010487,NA
2021-08-31,shubael,1,int,NA,2,phyco,µg/L,0.38206604155214485,NA
2021-08-31,shubael,2,int,NA,1,phyco,µg/L,0.33010722987462665,NA
2021-08-31,shubael,2,int,NA,2,phyco,µg/L,0.4273341013779176,NA
2021-08-31,shubael,3,int,NA,1,phyco,µg/L,0.4936991265019865,NA
2021-08-31,shubael,3,int,NA,2,phyco,µg/L,0.47935319009914507,NA
2021-08-31,shubael,4,int,NA,1,phyco,µg/L,0.50575453524387,NA
2021-08-31,shubael,4,int,NA,2,phyco,µg/L,0.4474063569331538,NA
2021-08-31,shubael,B,int,NA,1,phyco,µg/L,0.4131689961062044,NA
2021-08-31,shubael,B,int,NA,2,phyco,µg/L,0.4831506438528384,NA
2021-08-31,shubael,B,int,NA,3,phyco,µg/L,0.4639825439532437,NA
2021-09-15,hamblin,1,int,NA,1,phyco,rfu,0.6576,NA
2021-09-15,hamblin,1,int,NA,2,phyco,rfu,0.2623999999999995,NA
2021-09-15,hamblin,2,int,NA,1,phyco,rfu,0.17439999999999997,NA
2021-09-15,hamblin,2,int,NA,2,phyco,rfu,0.3135999999999996,NA
2021-09-15,hamblin,3,int,NA,1,phyco,rfu,0.7056,NA
2021-09-15,hamblin,3,int,NA,2,phyco,rfu,0.8392000000000002,NA
2021-09-15,hamblin,4,int,NA,1,phyco,rfu,0.3495999999999998,NA
2021-09-15,hamblin,4,int,NA,2,phyco,rfu,1.0928000000000002,NA
2021-09-15,hamblin,B,int,NA,1,phyco,rfu,0.13519999999999982,NA
2021-09-15,hamblin,B,int,NA,2,phyco,rfu,0.21839999999999976,NA
2021-09-15,hamblin,B,int,NA,3,phyco,rfu,0.16399999999999978,NA
2021-09-15,shubael,1,int,NA,1,phyco,rfu,2.744,NA
2021-09-15,shubael,1,int,NA,2,phyco,rfu,4.983200000000001,NA
